site,datetime,x,y,layer,obsval
twgw_2_2957,2018-02-11 07:12:00,5776.142710477893,-765.2288571604122,3,34.53751501
twgw_0_310,2018-02-06 02:24:00,9869.237510077019,2071.7000858204833,1,34.91177596
twgw_0_4518,2018-01-07 19:12:00,2618.279513933654,-1498.6932103263841,1,34.13323833
twgw_0_3385,2018-01-23 00:00:00,3661.007335486058,459.4611404212613,1,34.77094485
twgw_0_4369,2018-01-24 09:36:00,2377.285659093784,-750.5158913574547,1,34.34221571
twgw_0_4015,2018-01-18 12:00:00,4378.0423785322955,-1795.79023572067,1,34.36262528
twgw_0_202,2018-02-07 02:24:00,9000.260312632394,3355.506277632604,1,35.38669696
twgw_0_1042,2018-01-10 02:24:00,6472.877121823882,3974.1157707806547,1,35.93901867
twgw_2_1960,2018-01-25 04:48:00,7346.139044750419,-0.30556947770839926,3,34.63511204
twgw_2_310,2018-02-14 16:48:00,9853.38494163777,2069.399869532959,3,34.91085536
twgw_2_4518,2018-02-09 21:36:00,2581.2893564558844,-1500.256060255662,3,34.13221831
twgw_0_1590,2018-01-11 00:00:00,6877.212040124034,1533.516731404556,1,34.79979079
twgw_2_4015,2018-01-08 12:00:00,4344.760085967589,-1757.2720751585152,3,34.36171895
twgw_2_202,2018-02-15 14:24:00,9002.018850419525,3319.006745680373,3,35.38569262
twgw_2_4369,2018-01-02 02:24:00,2382.2943635294123,-731.287169678793,3,34.34115482
twgw_2_1042,2018-01-19 00:00:00,6411.073826936332,3915.6557626196472,3,35.93789877
twgw_2_202,2018-02-02 16:48:00,9002.018850419525,3319.006745680373,3,35.09518746
twgw_2_3385,2018-03-06 16:48:00,3636.601296879497,474.67399784594204,3,34.50505515
twgw_0_1042,2018-03-17 09:36:00,6472.877121823882,3974.1157707806547,1,35.54624017
twgw_2_2728,2018-02-17 07:12:00,5290.585298319484,404.5562801765389,3,34.44676596
twgw_0_2957,2018-02-23 07:12:00,5785.644647575239,-766.8019312504399,1,34.35247849
twgw_2_4369,2018-02-22 04:48:00,2382.2943635294123,-731.287169678793,3,34.16070279
twgw_2_310,2018-02-10 21:36:00,9853.38494163777,2069.399869532959,3,34.70694775
twgw_0_310,2018-02-04 00:00:00,9869.237510077019,2071.7000858204833,1,34.70767606
twgw_0_3385,2018-02-05 19:12:00,3661.007335486058,459.4611404212613,1,34.50591707
twgw_2_1590,2018-02-17 04:48:00,6936.293012858507,1552.8256344670576,3,34.57867128
twgw_0_1590,2018-03-10 21:36:00,6877.212040124034,1533.516731404556,1,34.57942188
twgw_2_1042,2018-02-16 09:36:00,6411.073826936332,3915.6557626196472,3,35.54528187
twgw_2_2957,2018-02-12 21:36:00,5776.142710477893,-765.2288571604122,3,34.35181789
twgw_0_2728,2018-03-22 04:48:00,5268.359669847015,371.1482351337234,1,34.44754315
twgw_0_3076,2018-03-26 16:48:00,3767.7898343058077,1192.6725532771384,1,34.70728913
twgw_0_202,2018-03-14 16:48:00,9000.260312632394,3355.506277632604,1,35.09601143
twgw_2_3076,2018-02-16 07:12:00,3832.385761844663,1154.0384951844164,3,34.7063952
