KSTP,KPER,PERTIM,TOTIM,TEXT,NCOL,NROW,ILAY
1,1,30.0000000,30.0000000,HEAD,60,120,1
1,1,30.0000000,30.0000000,HEAD,60,120,2
1,1,30.0000000,30.0000000,HEAD,60,120,3
1,2,30.0000000,60.0000000,HEAD,60,120,1
1,2,30.0000000,60.0000000,HEAD,60,120,2
1,2,30.0000000,60.0000000,HEAD,60,120,3
1,3,30.0000000,90.0000000,HEAD,60,120,1
1,3,30.0000000,90.0000000,HEAD,60,120,2
1,3,30.0000000,90.0000000,HEAD,60,120,3
1,4,30.0000000,120.000000,HEAD,60,120,1
1,4,30.0000000,120.000000,HEAD,60,120,2
1,4,30.0000000,120.000000,HEAD,60,120,3
1,5,30.0000000,150.000000,HEAD,60,120,1
1,5,30.0000000,150.000000,HEAD,60,120,2
1,5,30.0000000,150.000000,HEAD,60,120,3
1,6,30.0000000,180.000000,HEAD,60,120,1
1,6,30.0000000,180.000000,HEAD,60,120,2
1,6,30.0000000,180.000000,HEAD,60,120,3
1,7,30.0000000,210.000000,HEAD,60,120,1
1,7,30.0000000,210.000000,HEAD,60,120,2
1,7,30.0000000,210.000000,HEAD,60,120,3
1,8,30.0000000,240.000000,HEAD,60,120,1
1,8,30.0000000,240.000000,HEAD,60,120,2
1,8,30.0000000,240.000000,HEAD,60,120,3
1,9,30.0000000,270.000000,HEAD,60,120,1
1,9,30.0000000,270.000000,HEAD,60,120,2
1,9,30.0000000,270.000000,HEAD,60,120,3
1,10,30.0000000,300.000000,HEAD,60,120,1
1,10,30.0000000,300.000000,HEAD,60,120,2
1,10,30.0000000,300.000000,HEAD,60,120,3
1,11,30.0000000,330.000000,HEAD,60,120,1
1,11,30.0000000,330.000000,HEAD,60,120,2
1,11,30.0000000,330.000000,HEAD,60,120,3
1,12,30.0000000,360.000000,HEAD,60,120,1
1,12,30.0000000,360.000000,HEAD,60,120,2
1,12,30.0000000,360.000000,HEAD,60,120,3
1,13,30.0000000,390.000000,HEAD,60,120,1
1,13,30.0000000,390.000000,HEAD,60,120,2
1,13,30.0000000,390.000000,HEAD,60,120,3
1,14,30.0000000,420.000000,HEAD,60,120,1
1,14,30.0000000,420.000000,HEAD,60,120,2
1,14,30.0000000,420.000000,HEAD,60,120,3
1,15,30.0000000,450.000000,HEAD,60,120,1
1,15,30.0000000,450.000000,HEAD,60,120,2
1,15,30.0000000,450.000000,HEAD,60,120,3
1,16,30.0000000,480.000000,HEAD,60,120,1
1,16,30.0000000,480.000000,HEAD,60,120,2
1,16,30.0000000,480.000000,HEAD,60,120,3
1,17,30.0000000,510.000000,HEAD,60,120,1
1,17,30.0000000,510.000000,HEAD,60,120,2
1,17,30.0000000,510.000000,HEAD,60,120,3
1,18,30.0000000,540.000000,HEAD,60,120,1
1,18,30.0000000,540.000000,HEAD,60,120,2
1,18,30.0000000,540.000000,HEAD,60,120,3
1,19,30.0000000,570.000000,HEAD,60,120,1
1,19,30.0000000,570.000000,HEAD,60,120,2
1,19,30.0000000,570.000000,HEAD,60,120,3
1,20,30.0000000,600.000000,HEAD,60,120,1
1,20,30.0000000,600.000000,HEAD,60,120,2
1,20,30.0000000,600.000000,HEAD,60,120,3
1,21,30.0000000,630.000000,HEAD,60,120,1
1,21,30.0000000,630.000000,HEAD,60,120,2
1,21,30.0000000,630.000000,HEAD,60,120,3
1,22,30.0000000,660.000000,HEAD,60,120,1
1,22,30.0000000,660.000000,HEAD,60,120,2
1,22,30.0000000,660.000000,HEAD,60,120,3
1,23,30.0000000,690.000000,HEAD,60,120,1
1,23,30.0000000,690.000000,HEAD,60,120,2
1,23,30.0000000,690.000000,HEAD,60,120,3
1,24,30.0000000,720.000000,HEAD,60,120,1
1,24,30.0000000,720.000000,HEAD,60,120,2
1,24,30.0000000,720.000000,HEAD,60,120,3
1,25,30.0000000,750.000000,HEAD,60,120,1
1,25,30.0000000,750.000000,HEAD,60,120,2
1,25,30.0000000,750.000000,HEAD,60,120,3
