time,TRGW-2-8-47,TRGW-2-8-29,TRGW-2-29-5,TRGW-2-41-32,TRGW-2-47-50,TRGW-2-65-32,TRGW-2-68-47,TRGW-2-74-14,TRGW-2-80-20,TRGW-2-89-47,TRGW-2-101-23,TRGW-2-104-32,TRGW-0-8-47,TRGW-0-8-29,TRGW-0-29-5,TRGW-0-41-32,TRGW-0-47-50,TRGW-0-65-32,TRGW-0-68-47,TRGW-0-74-14,TRGW-0-80-20,TRGW-0-89-47,TRGW-0-101-23,TRGW-0-104-32
30.00000000000,34.96225450,35.39807473,36.11505953,34.93033470,34.72542986,34.79216681,34.57624259,35.10500588,34.88033705,34.42270917,34.49726826,34.32009989,34.94539888,35.40800427,36.12501435,34.93987721,34.73474551,34.80166207,34.56680416,35.11520126,34.88989882,34.41645586,34.50663910,34.32953434
60.00000000000,34.73940979,35.09454444,35.69419839,34.67790721,34.51140851,34.54438274,34.37544850,34.79733810,34.60327316,34.24145165,34.28828400,34.14342944,34.72804526,35.10272518,35.70281801,34.68562092,34.51882491,34.55204326,34.36970773,34.80573746,34.61108059,34.23782053,34.29571853,34.15080741
90.00000000000,35.04827613,35.50731324,36.24556659,35.03124820,34.81382507,34.89384397,34.66121556,35.22206981,34.99055430,34.50198309,34.58623528,34.39768700,35.02933486,35.51787698,36.25569881,35.04159159,34.82407709,34.90414712,34.65020761,35.23288011,35.00080823,34.49462396,34.59657257,34.40822943
120.0000000000,35.49218734,36.12387964,37.12764731,35.53098314,35.23290240,35.38179410,35.05192071,35.84138122,35.54204654,34.85155449,34.99495247,34.73960052,35.45960531,36.13805887,37.14085902,35.54491479,35.24672857,35.39569908,35.03137755,35.85599178,35.55584828,34.83712179,35.00892728,34.75391236
150.0000000000,35.84806639,36.62934311,37.87769446,35.92713455,35.56096420,35.76529750,35.35515276,36.34084494,35.98078390,35.12022221,35.31377388,35.00350189,35.80269304,36.64653574,37.89383045,35.94384460,35.57743543,35.78197818,35.32567971,36.35865626,35.99741343,35.09903422,35.33043142,35.02052050
180.0000000000,36.00089164,36.85507384,38.23425349,36.09304718,35.69519097,35.92282525,35.47688068,36.55621420,36.16492893,35.22556403,35.44188241,35.10708280,35.94943072,36.87363011,38.25202581,36.11084965,35.71260020,35.94058438,35.44335224,36.57548958,36.18274096,35.20129567,35.45948367,35.12498100
210.0000000000,35.89582743,36.71914602,38.06715596,35.96906930,35.58769605,35.79761349,35.37364774,36.40904544,36.02750436,35.12977444,35.33234804,35.01249685,35.84811820,36.73688686,38.08467286,35.98587177,35.60399111,35.81435363,35.34313861,36.42747315,36.04441510,35.10781865,35.34879721,35.02910248
240.0000000000,35.55253347,36.24608319,37.40285181,35.57947482,35.25974329,35.41490473,35.06631837,35.92799587,35.59611577,34.85276208,35.00849678,34.74014214,35.51700791,36.26099745,37.41820867,35.59340904,35.27312688,35.42875878,35.04460977,35.94344234,35.61023299,34.83743718,35.02196317,34.75359473
270.0000000000,35.05430717,35.55200844,36.40461096,35.01982212,34.79109881,34.86925235,34.62992141,35.23310767,34.97853112,34.46273262,34.55205077,34.35877245,35.03432324,35.56283858,36.41641648,35.02975934,34.80051370,34.87909989,34.61884100,35.24425804,34.98868278,34.45522212,34.56147217,34.36803990
300.0000000000,34.52514068,34.81125438,35.32405234,34.42992800,34.29801196,34.29710748,34.17250332,34.49960715,34.33015744,34.05606497,34.07736848,33.96321873,34.51822983,34.81782257,35.33180510,34.43577263,34.30342363,34.30286700,34.16972596,34.50631080,34.33620260,34.05443373,34.08273451,33.96836857
